Code,_StartTime,_EndTime,StartTime,EndTime,Type,Change
KA22,Oct 2007,Dec 2018,"£114,995","£75,750",All,-34%
KA22,Oct 2007,Dec 2018,"£111,975","£69,995",2 Bedrooms,-37%
KA22,Oct 2007,Dec 2018,-,"£649,995",5+ Bedrooms,-
KA22,Oct 2007,Dec 2018,"£249,000","£155,000",4 Bedrooms,-38%
KA21,Oct 2007,Dec 2018,"£112,000","£83,000",3 Bedrooms,-26%
KA21,Oct 2007,Dec 2018,"£65,000","£32,500",1 Bedroom,-50%
KA21,Oct 2007,Dec 2018,"£109,000","£59,000",All,-46%
KA21,Oct 2007,Dec 2018,"£105,995","£58,995",2 Bedrooms,-44%
KA21,Oct 2007,Dec 2018,-,"£170,000",5+ Bedrooms,-
KA21,Oct 2007,Dec 2018,"£170,000","£165,000",4 Bedrooms,-3%
KA20,Oct 2007,Dec 2018,"£97,475","£92,500",3 Bedrooms,-5%
KA20,Oct 2007,Dec 2018,"£57,995","£44,000",1 Bedroom,-24%
KA20,Oct 2007,Dec 2018,"£94,000","£69,998",All,-26%
KA20,Oct 2007,Dec 2018,"£75,000","£59,500",2 Bedrooms,-21%
KA20,Oct 2007,Dec 2018,"£349,000",-,5+ Bedrooms,-
KA20,Oct 2007,Dec 2018,"£210,000","£215,000",4 Bedrooms,+2%
KA24,Oct 2007,Dec 2018,"£165,000","£87,000",3 Bedrooms,-47%
KA24,Oct 2007,Dec 2018,"£45,500","£50,500",1 Bedroom,+11%
KA24,Oct 2007,Dec 2018,"£175,000","£70,000",All,-60%
KA24,Oct 2007,Dec 2018,"£59,995","£56,500",2 Bedrooms,-6%
KA24,Oct 2007,Dec 2018,"£299,000","£340,000",5+ Bedrooms,+14%
KA24,Oct 2007,Dec 2018,"£183,750","£307,000",4 Bedrooms,+67%
KA25,Oct 2007,Dec 2018,"£105,000","£182,500",3 Bedrooms,+74%
KA25,Oct 2007,Dec 2018,"£55,500","£39,995",1 Bedroom,-28%
KA25,Oct 2007,Dec 2018,"£94,995","£55,000",All,-42%
KA25,Oct 2007,Dec 2018,"£67,995","£49,995",2 Bedrooms,-26%
KA25,Oct 2007,Dec 2018,"£319,000","£285,000",5+ Bedrooms,-11%
KA25,Oct 2007,Dec 2018,"£230,000","£579,500",4 Bedrooms,+152%
KA26,Oct 2007,Dec 2018,"£162,500","£115,000",3 Bedrooms,-29%
KA26,Oct 2007,Dec 2018,-,"£74,500",1 Bedroom,-
KA26,Oct 2007,Dec 2018,"£190,000","£111,000",All,-42%
KA26,Oct 2007,Dec 2018,"£195,000","£70,000",2 Bedrooms,-64%
